Á,Aacute
⪇,lne
⪇,lneq
≨,lneqq
⋦,lnsim
⟬,loang
⇽,loarr
⟦,lobrk
⟵,LongLeftArrow
⟸,Longleftarrow
⟵,longleftarrow
⟷,LongLeftRightArrow
⟺,Longleftrightarrow
⟷,longleftrightarrow
⟼,longmapsto
⟶,LongRightArrow
⟹,Longrightarrow
⟶,longrightarrow
↫,looparrowleft
↬,looparrowright
⦅,lopar
𝕃,Lopf
𝕝,lopf
⨭,loplus
⨴,lotimes
∗,lowast
_,lowbar
↙,LowerLeftArrow
↘,LowerRightArrow
◊,loz
◊,lozenge
⧫,lozf
(,lpar
⦓,lparlt
⇆,lrarr
⌟,lrcorner
⇋,lrhar
⥭,lrhard
‎,lrm
⊿,lrtri
‹,lsaquo
ℒ,Lscr
𝓁,lscr
↰,Lsh
↰,lsh
≲,lsim
⪍,lsime
⪏,lsimg
[,lsqb
‘,lsquo
‚,lsquor
Ł,Lstrok
ł,lstrok
<,LT
≪,Lt
<,lt
⪦,ltcc
⩹,ltcir
⋖,ltdot
⋋,lthree
⋉,ltimes
⥶,ltlarr
⩻,ltquest
◃,ltri
⊴,ltrie
◂,ltrif
⦖,ltrPar
⥊,lurdshar
⥦,luruhar
≨︀,lvertneqq
≨︀,lvnE
¯,macr
♂,male
✠,malt
✠,maltese
⤅,Map
↦,map
↦,mapsto
↧,mapstodown
↤,mapstoleft
↥,mapstoup
▮,marker
⨩,mcomma
М,Mcy
м,mcy
—,mdash
∺,mDDot
∡,measuredangle
 ,MediumSpace
ℳ,Mellintrf
𝔐,Mfr
𝔪,mfr
℧,mho
µ,micro
∣,mid
*,midast
⫰,midcir
·,middot
−,minus
⊟,minusb
∸,minusd
⨪,minusdu
∓,MinusPlus
⫛,mlcp
…,mldr
∓,mnplus
⊧,models
𝕄,Mopf
𝕞,mopf
∓,mp
ℳ,Mscr
𝓂,mscr
∾,mstpos
Μ,Mu
μ,mu
⊸,multimap
⊸,mumap
∇,nabla
Ń,Nacute
ń,nacute
∠⃒,nang
≉,nap
⩰̸,napE
≋̸,napid
ŉ,napos
≉,napprox
♮,natur
♮,natural
ℕ,naturals
 ,nbsp
≎̸,nbump
≏̸,nbumpe
⩃,ncap
Ň,Ncaron
ň,ncaron
Ņ,Ncedil
ņ,ncedil
≇,ncong
⩭̸,ncongdot
⩂,ncup
Н,Ncy
н,ncy
–,ndash
≠,ne
⤤,nearhk
⇗,neArr
↗,nearr
↗,nearrow
≐̸,nedot
​,NegativeMediumSpace
​,NegativeThickSpace
​,NegativeThinSpace
​,NegativeVeryThinSpace
≢,nequiv
⤨,nesear
≂̸,nesim
≫,NestedGreaterGreater
≪,NestedLessLess
␊,NewLine
∄,nexist
∄,nexists
𝔑,Nfr
𝔫,nfr
≧̸,ngE
≱,nge
≱,ngeq
≧̸,ngeqq
⩾̸,ngeqslant
⩾̸,nges
⋙̸,nGg
≵,ngsim
≫⃒,nGt
≯,ngt
≯,ngtr
≫̸,nGtv
⇎,nhArr
↮,nharr
⫲,nhpar
∋,ni
⋼,nis
⋺,nisd
∋,niv
Њ,NJcy
њ,njcy
⇍,nlArr
↚,nlarr
‥,nldr
≦̸,nlE
≰,nle
⇍,nLeftarrow
↚,nleftarrow
⇎,nLeftrightarrow
↮,nleftrightarrow
≰,nleq
≦̸,nleqq
⩽̸,nleqslant
⩽̸,nles
≮,nless
⋘̸,nLl
≴,nlsim
≪⃒,nLt
≮,nlt
⋪,nltri
⋬,nltrie
≪̸,nLtv
∤,nmid
⁠,NoBreak
 ,NonBreakingSpace
ℕ,Nopf
𝕟,nopf
⫬,Not
¬,not
≢,NotCongruent
≭,NotCupCap
∦,NotDoubleVerticalBar
∉,NotElement
≠,NotEqual
≂̸,NotEqualTilde
∄,NotExists
≯,NotGreater
≱,NotGreaterEqual
